"Date","Plot","Site","A","G","NG","R","SD","veg_height","Site_Plot","Orientation","Altitude"
2019-02-12,"C","SD2",15,50,30,0,5,84.4,"SD2 C","S","D"
2019-02-12,"C","SM1",5,50,35,5,5,37.6,"SM1 C","S","M"
2019-02-12,"C","SM2",10,50,30,10,0,53.6,"SM2 C","S","M"
2019-02-12,"D","ND1",10,30,30,0,30,30.2,"ND1 D","N","D"
2019-02-12,"D","ND2",10,30,20,0,40,19.2,"ND2 D","N","D"
2019-02-12,"D","SD1",5,85,10,0,0,85.2,"SD1 D","S","D"
2019-02-12,"D","SD2",10,50,35,0,5,79.4,"SD2 D","S","D"
2019-02-12,"D","SM1",10,50,35,5,0,31.4,"SM1 D","S","M"
2019-02-12,"D","SM2",10,40,30,10,10,39.8,"SM2 D","S","M"
2019-02-12,"E","ND1",10,35,25,0,30,16.4,"ND1 E","N","D"
2019-02-12,"E","ND2",20,30,20,0,30,34.6,"ND2 E","N","D"
2019-02-12,"E","SD1",0,95,5,0,0,109.4,"SD1 E","S","D"
2019-02-12,"E","SD2",10,60,30,0,0,74.8,"SD2 E","S","D"
2019-02-12,"E","SM1",10,50,30,5,5,33.8,"SM1 E","S","M"
2019-02-12,"E","SM2",20,35,25,10,10,65.8,"SM2 E","S","M"
2019-02-16,"A","NM1",5,45,25,5,20,21.8,"NM1 A","N","M"
2019-02-16,"A","NM2",5,45,40,5,5,37.4,"NM2 A","N","M"
2019-02-16,"A","NU1",0,60,40,0,0,15.6,"NU1 A","N","U"
2019-02-16,"A","NU2",10,55,35,0,0,17,"NU2 A","N","U"
2019-02-16,"A","SU1",5,60,30,0,5,16,"SU1 A","S","U"
2019-02-16,"A","SU2",5,55,30,0,10,17,"SU2 A","S","U"
2019-02-16,"B","NM1",5,25,25,5,40,46.8,"NM1 B","N","M"
2019-02-16,"B","NM2",10,45,40,0,5,41.2,"NM2 B","N","M"
2019-02-16,"B","NU1",5,50,45,0,0,12.2,"NU1 B","N","U"
2019-02-16,"B","NU2",5,50,35,0,10,12.2,"NU2 B","N","U"
2019-02-16,"B","SU1",20,50,25,0,5,12.8,"SU1 B","S","U"
2019-02-16,"B","SU2",0,60,30,5,5,14.8,"SU2 B","S","U"
2019-02-16,"C","NM1",10,40,40,0,10,137,"NM1 C","N","M"
2019-02-16,"C","NM2",0,60,35,0,5,26.8,"NM2 C","N","M"
2019-02-16,"C","NU1",5,50,45,0,0,17.8,"NU1 C","N","U"
2019-02-16,"C","NU2",10,60,30,0,0,18.2,"NU2 C","N","U"
2019-02-16,"C","SU1",20,45,30,0,5,10,"SU1 C","S","U"
2019-02-16,"C","SU2",10,50,35,0,5,10.8,"SU2 C","S","U"
2019-02-16,"D","NM1",10,30,25,5,30,43.8,"NM1 D","N","M"
2019-02-16,"D","NM2",5,55,40,0,0,37.2,"NM2 D","N","M"
2019-02-16,"D","NU1",10,45,40,5,0,16.2,"NU1 D","N","U"
2019-02-16,"D","NU2",20,35,30,5,10,22.4,"NU2 D","N","U"
2019-02-16,"D","SU1",10,50,40,0,0,12.8,"SU1 D","S","U"
2019-02-16,"D","SU2",10,50,40,0,0,15.8,"SU2 D","S","U"
2019-02-16,"E","NM1",10,45,30,5,10,32.4,"NM1 E","N","M"
2019-02-16,"E","NM2",5,50,35,5,5,32.2,"NM2 E","N","M"
